isolation_source,count
Phyllosphere of Musa spp. AAA cv. Grand Naine. Leaf number 10,1
Plain boiled chicken,1
"Activated sludge in wastewater treatment, oil refinery plant",1
"obtained by stable isotope probing of toluene degrading sulfate-reducing culture enriched from oil sands tailings of Alberta, Canada",1
groundwater from 1.7 km deep subsurface,1
rhizosphere of a Sorghum plant,1
"Activated sludge was sampled from two, 4-l enhanced biological phosphorus removal (EBPR) sequencing batch reactors seeded from Thornside Wastewater Treatment Plant, Queensland",1
biological,1
piggery dust,1
soil adjacent to man-made pond at water treatment facility,1
hydrocarbon contaminated rhizosphere,1
periapical abscess,1
intertidal marine sponge from the beach of Dalian,1
Soil cores containing the root system of one maize plant,1
Oropharyngeal,1
Butter sample from the Republic of Moldavia,1
Water from tilapia pond,1
Ace Lake,1
goldfish aquarium,1
Raw almonds,1
blood from new born child with sepsis,1
Rhizosphere of Ilex paraguariensis St. Hil,1
segment 2 of single filament from GC246 mud volcano site,1
Tracheostomy Aspirate,1
a dead ark clam,1
Hot spring_98deg.,1
Monarch Geyser (MG_3); temperature 80C; pH 4.0,1
"freshwater lake sediment grown in bioreactor fed with nitrate, ammonium and methane",1
enzootic abortion of ewes,1
carrot,1
Pectoral lymph nodes,1
blood sample from a 76 year old man who was hospitalized in ICU,1
biofilm from MA_RO membrane6,1
Pleural Tube,1
soil contaminated with killed cattle,1
Marina Sediment,1
caecum,1
Lactuca sativa var. capitata (red lettuce),1
"Ayakekum salt lake - low temperature, low nutrient levels, abundant sunlight and remote geographical location; pH of the water was approximately pH 7-8",1
venous blood,1
coastal waters,1
retail chicken gizzard,1
A hexactinellid isolated at 824 m depth,1
"pink subaerial biofilm microbial community collected from the base of 2m high pile of pyrite sediment over which pH 1.1, 41C acid mine drainage solution was flowing",1
blood sample from a 36 year old woman who was hospitalized in ICU,1
supermaket trout,1
Chicken breast conveyor belt,1
cell culture,1
nasal pharynx,1
field,1
culture,1
laparoscopic wound,1
nail feet smear,1
Meat from pig - fresh,1
acid mine decant and tailings from uranium mine,1
coastal surface water from the Northern Adriatic Sea,1
endocervical tissue,1
perfusion fluid,1
Skin (Petechiae),1
Seawater from oxygen minimum zone,1
undefined,1
Hot Spring water,1
medical patient,1
Femural surgical wound,1
poultry carcass 3,1
soil of landfill site,1
single cells S2_E04 and S3_L12 amplified by MDA; Uruguay winery wastewater,1
swab of drain,1
collected by magnetic separation from freshwater sediment,1
oceanic bottom sediments,1
Andacollo gold mining area,1
baechu kimchi,1
"Boothbay harbor, 1m depth",1
Parsons silt loam,1
Ford Lake,1
"unialgal non-axenic culture, originally established from brackish water collected from Curonian Lagoon Lithuania",1
Floor Drain (86-448-196 2a),1
Cerebellum abscess,1
sauerkraut,1
Fresh fish,1
flowers,1
limb,1
Stool of child with non-specific diarrhea,1
Beefmaster heifer,1
trophosome of five individuals (short-fat and long-skinny morphotypes) collected from the Hulk vent in the Main Endeavour Field (-2190 m) and the Axial Volcano (-1516 m),1
Cutaneous swab,1
Okra,1
hay,1
patient blood,1
Honey bee midgut,1
orchids affected by bacterial soft rot,1
North Sea (surface water),1
Antonio Pedro University Hospital,1
noodle salad,1
slough from diabetec foot ulcer,1
"Little Campbell River, British Columbia, Canada",1
"soil sample, Enrichment culture with 4-chlorophenol and 2,4-dichlorophenol",1
parched beans,1
rhizomorph hyphal-tip cell-culture,1
Fecal samples from a 12-year-old male koala named Zagget,1
subseafloor sediment,1
Wet market,1
"disinfectant-free drinking water, site 2",1
Anal fistula,1
Skin and soft tissue,1
Brine-fed electro-methanogenic bioreactor BR12,1
Mid-stream Urine,1
Denmark,1
leaf tissue,1
Alfalfa silage,1
feather waste from poultry processing plant,1
moss leaves from three boreal mosses,1
Portugal:Lisbon,1
"tobacco waste from Liqun Environment Protecting Paper Co., Ltd",1
cocoon mucus of kanamycin treated earthworm,1
Surfaces of lower molars of Sprague Dawley rat,1
human dental abscess,1
lungs of dead pneumonia animals,1
Kulin Smoked,1
clinical throat samples,1
rhizosphere of wild rye growing in a coastal sand dune area,1
Bean seeds,1
the skin of squirrel,1
tongue plaque,1
milk from cow teat in a norwegian farm followed by infection of mouse mammary gland,1
beef sausage sample from Turkey,1
pepper leaf,1
Abdominal clot,1
raw chicken meat,1
"marine sediment; Station J, 5-10 cmbsf, microcosm with tetrathionate",1
Penile discharge,1
Radish,1
biofilm from sulfidic groundwater,1
Man-made lake,1
Human urine,1
sediment (10-15 cm) from mangrove covering field,1
intake seawater,1
Abdominal drainage tube,1
Bronchoalvelar lavage (BAL),1
segment 6 of single filament from GC246 mud volcano site,1
Saffron corm,1
Parkland forest soil (upper A horizon),1
drainage ditch water,1
Cylindrospermopsis summer bloom,1
Liver cyst,1
duodenum biopsy,1
biopsy of vertebra,1
lung of a duck that died of fowl cholera,1
stool from hospitalized pediatric patient,1
water from CO2 storage reservoir,1
bovine milk 2,1
algae surface,1
Poultry sample from Republic of Moldavia,1
Gut,1
Ribes nigrum leaves,1
cervical abscess,1
meat production plant,1
fermented herbage,1
blood sample from a 69 year old woman who was hospitalized in ICU,1
Biliary drain fluid,1
"Subgingival plaque, periodontal pocket",1
Agr,1
Wheat (Triticum aestivum),1
Miniatus Grouper,1
broiler chicken gut,1
Trichodesmium bloom in seawater,1
"Angelo meadow plot 1, 20cm depth, 2 days after second rain event (91mm)",1
fetal bovine kidney,1
"Laboratory collection, wild type strain",1
bovine meat 3,1
cabbage cv. WK882,1
Red Sea water column Station 108 - depth 200m,1
methane seep,1
(SRF) surface water layer water column,1
Cow's milk,1
gill of flatfish,1
glacier sediment,1
feces of 51 yr old caucasian female with stage I colorectal cancer,1
Falafel powder from Egypt,1
bronchoscopy tissue,1
lesions on the lower abdomen,1
insect isolated from skin/wool of sheep,1
Swine feces,1
tomato rhisosphere,1
Electronic waste sludge of dismantling workshop,1
Dental Plaque,1
Endotracheal Secretion,1
coastal marine water,1
Pleura effusion,1
campsite water hose,1
intra-abdominal abscess,1
Growol (fermented cassava),1
Fucus evanescens,1
traditional sour milk,1
pus of abscess,1
drain liquid,1
Sphagnum peat bog gray layer sample,1
bronchial sample from a male patient with chronic obstructive pneumonia,1
Moutai flavour Daqu,1
Ventricular cerebrospinal fluid,1
endotracheal,1
pharyngeal exudate from child's pharynx,1
soil contaminated by poppy wastes,1
Fish part (head) sold as Asian bighead carp; Muscle,1
nasophyrangeal,1
Deep-sea sediment,1
tubeworm trophosome,1
phototrophic microbial mat,1
cellulose fed anaerobic digester inoculated with sludge,1
Clinical wastes,1
"disinfectant-free drinking water, site 5",1
crown gall,1
Red heat in salted hides (spoiled fish),1
bedside table,1
TIP,1
Eggplant plant with bacterial wilt symptoms,1
Mennonite Sausage,1
Celery,1
seawater from North Atlantic Deep Water,1
fungal mycelia of Mortierella elongata FMR23-6,1
Host lymph node biopsy,1
penile discharge,1
cerebral-spinal fluid,1
CWDANST,1
single cell amplified by MDA; deep marine sediment,1
Chilled goulash,1
urinary catheter,1
shower water,1
Owen's River,1
Freshwater Cyanobacterial Bloom,1
peritoneal liquid,1
ice-bearing permafrost,1
Bronchial fluid,1
Bronchia,1
"right leg muscle, right leg fascia, central venous catheter, dialysis catheter, surface of the left leg ulcer, and left lower leg",1
vaccine,1
patient eye swab,1
PCB contaminated upland soil,1
traditional dairy,1
Skin pustule,1
3 cells amplified by MDA; sorted single cells from oil sands tailings pond,1
visceral organs,1
Laboratory derivative,1
single cell amplified by MDA; Jinze hot spring,1
Endotracheal tube secretions,1
pre-capsular lymph node,1
cucumber fermantation,1
Honey,1
Mud of a pig farm,1
Antarctic seawater,1
Skin biopsy,1
mammary cyst biopsy,1
rhizosphere area,1
Floor at Door of fridge,1
Veterinary,1
pupae,1
"ammonium-rich, mesophilic methanogenic a continuously stirred laboratory-scale reactor",1
Generalized,1
swab of staff's sole,1
stomach content of fetus,1
hot water systems,1
host trophosiom tissue,1
Starvation in Luria Bertani broth,1
water column (SRF) surface water layer,1
nitrate amended sediment enrichment culture,1
catheter urine,1
cornea of keratitis patient,1
Tissue from foot,1
Bream,1
Blood and wound,1
Packaged minced pork,1
Baker Lake,1
Saline lake sediment,1
prosthetic knee,1
pig viscera,1
A laboratory derivative of ATCC 14028s,1
biofilm from LA_RO membrane4,1
"marine sediment core GS10_PC15, 163 cmbsf",1
Pancreas,1
Severe Trauma Site bone,1
pharyngeal secretions,1
blood sample from a 66 year old man who was hospitalized in ICU,1
Lung Tissue,1
"seafood, marine bivalve",1
Agricultural soil sample,1
sediment from Garga hot spring located in the valley of the river Barguzin (the Baikal region),1
Turkey ceca,1
soil from horse paddock,1
blood sample from a 38 year old man who was hospitalized in ICU,1
Aphis craccivora (cowpea aphid) on Robinia pseudoacacia (locust),1
abdominal wound swab,1
wastewater outflow,1
blood sample from a 67 year old woman who was hospitalized in ICU,1
Freshwater river sediment,1
Closed pus,1
vaginal fluid,1
ulcer exudate,1
throat swab - pharynx,1
The waste water of the city hospital number 4,1
Wound left foot,1
"sample #5579, elevator 3A push core 41 containing 12 cm of sediment, collected at Hydrate Ridge North during Jason II dive J2-593 from an area of active seepage marked by bubble ebullition and surface expression of white microbial mat",1
infected surgical wound,1
open ocean water,1
URT,1
sample taken from an organic matter in an abandoned nest of a bird,1
6-12 cm at B station,1
"deep-subseafloor sediments retrieved at the site 1225 of the Ocean Drilling Program (ODP) 3760m below the sea surface during ODP Leg 201 (D'Hondtet al., 2004; DOI: 10.1126/science.1101155)",1
Baechu-Kimchi,1
biomass from a lab-scale sequencing batch reactor,1
Shar-Burdiin hypersaline soda lake,1
L4 methanol SIP enrichment; time point 1; heavy DNA,1
infection site,1
cerebral spinal fluid,1
surface of Austrian artisanal cheeses,1
tracheobronchial aspirate,1
Freshwater creek,1
gills of Trichogaster trichopterus,1
effluent treatment plant,1
Vaginal-rectal,1
vegetable food,1
pastry,1
Deep venous catheter,1
from the respiratory tract of Marmota himalayana,1
"imperial geyser, near vegetative/sediment and waters edge",1
oil-contaminated slough,1
sump pump pipe water,1
Ascitic fluid,1
smoked ham water added,1
hairtail,1
Lung biopsy,1
dialysis soution,1
pristine surface coastal water,1
traditional fermented food (gizzard shad),1
recirculating aquaculture system with fresh water at 25C,1
oysters (Crassostrea spp.),1
Not applicable,1
Meat semi-finished products,1
Prosciutto Cotto,1
Coarse Wurst,1
Potatoes,1
Isolates from 68.82m-68.92m section below the seafloor (cmbsf) in subseafloor sediments off Shimokita Peninsula,1
commercial swine,1
biofilm from MB_RO membrane1,1
salt mine,1
honeybee gut,1
blood and joint fluid of melioidosis patient,1
freshwater lake surface water,1
total host DNA extraction,1
sediment core,1
chromate-containing wastewater,1
"marine water, cyanobacterial mat",1
cardiovascular puncture (CVP) tip,1
"soil near greenhouses, ph 8.3",1
cerebrospinal fluid from newborn,1
Gatot (dried fermented food from cassava),1
single cell amplfied by MDA; marine water,1
Oral Cavity,1
faecal sample,1
inner root,1
incision secretion,1
rhizosphere soil from the California Institute of Technology Campus,1
non-rhizosphere bulk soil near Avena fatua middle density fraction time point 6 weeks,1
Plant Leaf,1
Atlantic Ocean,1
Frozen whole Tilapia,1
Freshwater reservoir,1
Reserve Speciale Ambohitantely,1
purple siltstone,1
Sewage Treatment Plant,1
Antarctic saline pond copepod,1
Deep sea sediments,1
zebrafish from quarantine facility,1
Vaginal rectal screen,1
dairy milk,1
sea mud,1
Porcine tongue,1
Hypolithon,1
Ionic-liquid pretreated feedstock adapted compost from compost facility,1
biofilm from LB_RO membrane2,1
Chicken heart,1
stillborn fetus from a slaughterhouse,1
lizard,1
larvae gut,1
freshwater including sediment from Sincheon River,1
control oxisol soil plot 2,1
polluted sand sample from Praia da Seda beach after the Prestige tanker accident,1
Rhizospheric soil from Cenchrus ciliaris,1
water from a salt pit,1
man-made lake 220 cm below water surface,1
Stool 3,1
A demosponge isolated at 971 m depth,1
ankle wound,1
nasopharyngeal aspirate,1
active-layer soil at a depth of 1 m from soil core (Eur3),1
Pure culture in MRS broth and glycerol (2:1),1
head kidney,1
"DOE Field Research Center at Oakridge, Tennessee, Area 5, Well FW507",1
artificial saltern,1
subgaleal pus,1
skin of chicken,1
Palm oil mill effluent degrading anaerobic digester,1
flower,1
grape skin,1
"Lungs, pleura",1
blood sample from a 58 year old woman who was hospitalized in ICU,1
subcutaneous tissue biopsy,1
blood and feces,1
Wound exudate,1
"""mummified remains of an ancient """"Tumat"""" puppy""",1
resina,1
Rhizo- sphere soil samples collected in an organic olive grove located at Mairena del Aljarafe (Sevilla),1
marine sediments,1
ground swine,1
Abscesse secretion,1
biofilm from MB_RO membrane5,1
foot wound,1
cloud water,1
Blood stream of bacteremia patient,1
Petroleum contaminated sludge,1
"stool of a child hospitalized at icddr,b hospital in Dhaka",1
diseased Nile tilapia,1
carious lesion,1
Ground pork,1
commercial turkey ileum,1
Abd Wound,1
bacteremia,1
gills from mollusc collected from dive Tiburon 548,1
Stool 5,1
Tomato plant endosphere,1
cellulolytic enrichment culture from marsh water,1
lung sample,1
Red Sea water column Station 149 - depth 50m,1
oropharyngeal sample,1
Poultry feed,1
Pericoronitis,1
freshwater sediment of Sincheon River,1
irrigation canal,1
non-axenic enrichment culture inoculated with Trichodesmium trichomes collected from seawater; maintained in YBC-II_artificial_seawater; biomass sampled from culture in 2019-05 for DNA extraction,1
Intra-abdominal drainage,1
University Hospital of Yamoussoukro,1
Clams,1
oil production facility,1
Floor press,1
plant nodules,1
bovine mastitis milk,1
surgical swab,1
South Atlantic sub-tropical gyre (station KN192-5-11),1
bioreactor enrichment culture,1
External lesion of a diseased snapper,1
M OIDS,1
adult female hemolymph and gut,1
German Wadden Sea,1
Bacteriophage Insensitive Mutant of strain ATCC 10386,1
Peru,1
Cutaneous ulcer,1
Rectasl swab,1
Individual compounds of essential oils,1
water sample from river near old railway bridge,1
Turkey meat,1
Sheep outbreak - vaginal swab,1
sacrum,1
Gray water,1
Injured eye,1
Duck hatchery premise. Environmental sponge from inside air exhaust tunnel of hatcher room C,1
daylily root,1
"Oral cavity, infant (2 months age)",1
sheep brocho-alveolar lavage,1
bovine milk 1,1
microbial mat sample from a shallow moated area,1
Air sample from hospital environment,1
biofilm from LA_RO membrane1,1
Tracheal secretions,1
"Mining area near to La Esperanza in Murcia, Spain",1
parenchyma,1
Non-disinfected roots of Brachiaria brizantha,1
"anaerobic sediment of brackish water ditch near Jadebusen, North Sea, Germany",1
Queso fresco,1
microalgae culture,1
Rhizospheric water of Mangrove Trees,1
enrichment culture from gut homogenate,1
MRSA isolate from 43 years old male,1
chili cheese corn dog,1
water with organic detritus of a forest pool,1
single cell amplified by MDA; brine-seawater interface from Atlantis II Deep Red Sea,1
submerged soil sample from rice field,1
karst cave soil,1
Ocular,1
root of field-grown alfalfa plants,1
"alaline, sulfidic hot spring Cone Pool 1",1
Environmental control,1
mitral valve,1
Hot-spring sediments,1
Cerebospinal fluid,1
saltern,1
sacral ulcer swab,1
urinary infection,1
Inguinal lymph node,1
surface of lake,1
Sputum; Early isolate from VAP patient 3,1
food processing,1
Coconi,1
Semi-finished fish,1
deep-seawater,1
tracheal aspirate from Non-CF patient,1
surface of Austrian artisanal cheese,1
Harvested at the discharge of the grit chambers of the west wastewater treatment plant of Quebec City,1
sea ice,1
Ladder,1
salt lake sediments,1
intestine of snail,1
hydroponic lettuce leaf,1
lession,1
polluted sand sample after the Prestige tanker accident,1
Lake Cadagno,1
Liver Sausage,1
biofilm from LA_RO membrane2,1
Florida freshwater fish farms,1
Duck hatchery premise. Environmental sponge from top of hatcher C1 in hatcher room C,1
filtered produced water from oil reservoir B6,1
larva,1
geothermal spring sediment,1
deep-sea hydrothermal vent sediment,1
Rifle well FP-101 under high O2,1
Laboratory contaminant,1
horse trough water,1
Feta Cheese,1
residential yard,1
arctic wetland soil,1
hot spring water and gravel,1
lakeside in Campo Rupestre,1
kitchen drain gutter floor,1
natural oxic surface sediment,1
beach sand samples (comprising of small lime stones) from the sea mouth of Chilika lake,1
perianal,1
Rifle well FP-101 under low O2 conditions; 0.1 micron filter; 10% subassembly,1
chicken gizzard,1
Pacific Ocean from 4004 m depth,1
lilypad,1
"Seachest, wood",1
butter,1
Broncholaveolar lavage,1
milk from cow teat in a norwegian farm,1
mine drainage stream,1
Human sputum,1
Retail chichen,1
pleural fluid isolated form a 50-year-old man,1
gall,1
aqueous sample from a deep subsurface shale carbon reservoir,1
Lake Michigan water,1
no data,1
Joint Aspirate,1
Blood stream,1
Urinary catether,1
Stool 1,1
Foley Catheter,1
Secretion swab,1
hematite amended sediment enrichment culture,1
Antarctic Soil,1
Antarctic marine sediment,1
banana plantation infected with Banana Blood Disease,1
faces,1
Coriender and Cumin mix,1
Antarctic saline lagoon,1
Uretral sample,1
Surveillance culture,1
meat and bone meal,1
"Jukgye, Dongnam, Cheonan, Korea",1
yogurt,1
Spiral shell,1
marine sediment sample bbl-31,1
Soil of Match works dumpyard,1
Antarctic soil,1
Retropharyngeal abscess,1
sandy soil,1
production water,1
beach mud,1
biofilm from MB_RO membrane3,1
non-axenic culture originally inoculated with ocean water,1
"the First Quanzhou Hospital, Quanzhou, Fujian, China",1
Re-isolation from DSM 1974,1
Tuna Kimchi Gimbap (a type of Korean food),1
Oropharyngeal swab,1
river mud,1
lab-maintained culture,1
larvae,1
blood sample from a 42 year old man who was hospitalized in ICU,1
enriched culture from deer feces,1
trophosome of an individual (short-fat morphotype) collected from the Hulk vent in the Main Endeavour Field (-2190 m),1
activated sludge from wastewater treatment plant,1
"Ospedale S. Maria delle Grazie (Napoli, Italy)",1
stoma swab,1
deep-sea sediment samples,1
lung biopsy,1
water sample and microbial mat on an anthropogenic pipe,1
mussel,1
male,1
sediment of Lagoon,1
sugarcane bagasse,1
Sponge bags 2,1
biofilm from LB_RO membrane6,1
Umbilical cord,1
catheter swab,1
"Antarctic soil, Upper top soil layer",1
Swine stool,1
"Upflow Anaerobic Sludge Blanket (UASB) biodigestor operated at 45C, used to treat sugarcane vinasse",1
Pre-Scapular LN,1
Deep sediment,1
saliva from healthy adult,1
Wrapped Turkey,1
sponge from the Swan site of a hydrothermal vent,1
leachate from fermenter tank of an agricultural biogas plant,1
cellulolytic consortium obtained from decaying native forest soil,1
water from a shrimp pond,1
urine tube tip,1
single cell amplified by WGA; tempeh (fermented soybean food product),1
derived from clinical isolate ATCC 14028,1
The running surface of an indoor track field house,1
Diploria strigosa and Siderastrea siderea,1
mixed salad,1
particulate air filter from the International Space Station,1
Brassica oleracea var. capitata,1
gills from mollusc collected from dive Tiburon 488,1
wetland sediment,1
vaccine strain for haemorrhagic septicaemia,1
Outflow 1 m downstream from hot springs,1
skin damage,1
chest tube,1
Antarctic coastal attached (fast) ice and surface seawater,1
Trachel,1
red biofilm from hot lake,1
blood from a febrile patient,1
hot spring sediments,1
liver from bovine aborted fetus,1
ZC4 compost from a compost operation of Sao Paulo Zoo,1
Retropharyngeal lymph node,1
commercial canine company,1
Hydraulic Fracturing Produced Water Storage Tank,1
Whole fish sold as black tilapia; Muscle,1
Tsoundzou,1
sinus tissue,1
bovine meat 1,1
Lee Lake,1
abdominal swab,1
osteomyelitis aspirate,1
Belgian Congo,1
Tissue Culture,1
detention water,1
nose (colonization),1
roast pork,1
carcass swab,1
chicken Gizzard,1
external auditory canal,1
laboratory culture of MM66 was used to generate MM66 mutants expressing reduced expression of vancomycin-intermediate mechanism,1
black carp,1
Tillamook County,1
oil polluted seawater,1
Myodes rufocanus,1
blood specimen,1
Putrid infusion of shell fish,1
bone marrow of dead buffalo with haemorrhagic septicaemia,1
biofilm from from a cold seep,1
mid stream urine of a 33 year female patient with a history of genito-urinary Tuberculosis,1
Lung tissues,1
wound abscess,1
swab from pus at scar,1
healthy chicken,1
Roast duck,1
sputum of patient with mycobacteriosis,1
soil flooded by seawater,1
seawater 60 km offshore,1
Asian swamp eel,1
Mediterranean sea,1
Trachea aspirate,1
sediments of neutral hot spring,1
Kale,1
Lab contaminant,1
Brazilian Cerrado,1
ethmoid sinus,1
Kulunda Steppe hypersaline lakes with neutral pH,1
"Oryza sativa, rhizosphere soil",1
Conjunctivae,1
diseased leaf veins,1
Brandtia sp.,1
finger,1
Post-intervention beef carcass,1
gizzard,1
Turbot,1
polar saline lagoon,1
nosopharyngeal aspirate,1
"lung, right",1
Slaughterhouse,1
piggery manure,1
Frozen shrimp,1
Pigeon,1
bacon flakes,1
cotton rhizosphere soil,1
squared floor,1
Testicle,1
Sediment of a hot spring pool,1
soil adhering to oilseed rape's roots,1
spinach leaf,1
alkaline ophiolitic spring,1
sulfidic fissure Spring - flowing,1
bone marrow,1
single cell amplified by MDA; Gongxiaosohe hot spring,1
sputum samples from patient with COPD,1
Duck Pemise. Environmental drag booties from the duck barn floor,1
freshwater stream sediment,1
sludge from a small creek near an electronic waste dismantling workshop,1
scats,1
Sacred grove,1
Coastal eastern subtropical pacific,1
Calf Liver,1
Turbot fish farm,1
water from a pond,1
bloodstream of patient with high level daptomycin resistance,1
Vacuum packaged sliced salted salmon product,1
Baechu-kimchi,1
biofilm from LA_RO membrane3,1
Incision,1
soil from a termitary,1
diseased striped catfish,1
faecal sample from a 27 year old healthy female,1
bay water summer sample 29 PSU in less than .8 micron size fraction,1
Damaged skin,1
fecal sample of cattle,1
abscesses,1
blood; anaerobic bottle,1
Frozen raw headless shell shrimp,1
Ham,1
gills of Trichogaster pectoralis,1
"North Queensland, Australia",1
tissue from tooth extraction,1
Eye discharge,1
sputum and blood,1
aviary environment,1
Puncture fluid,1
gills of Hemibagrus wyckioides,1
periodontal plaque,1
Chicken caecum,1
clinical specimens from dogs,1
water of air-conditioning systems,1
sputum from a cystic fibrosis patient,1
ileal content,1
"Soil, Residential Rain Drainage Channel",1
"Decomposed wood of Fagus sylvatica, >38 years decomposition",1
Radish shoots,1
spring bog,1
soldier combat wound,1
blood bag,1
sputum specimens,1
Clam,1
The second burn ward of Harbin fifth hospital,1
Chrysomya megacephala adult collected from field of the airport,1
wastewater treatment plant biodam,1
Settle dust from an indoor track field house,1
"Decomposed wood of Fagus sylvatica, <5 years decomposition",1
Red Sea water column Station 91 - depth 100m,1
"Periwinkle (C. roseus) plants placed in a phytoplasma infected vineyard, natuarally infected by vectors (M. fuscovaria)",1
rotted fruit from symptomatic plant,1
Nasal Swab from a Mare,1
Foot Swap,1
Prosthesis sonication,1
produced water originating from a coalbed methane well,1
Brine-fed electro-methanogenic bioreactor BA12,1
steamed conch,1
Stool sample (feces),1
Drag swab,1
Atlantic Forest,1
potato tuberosphere soil,1
Ixodes scapularis,1
coastal sea-ice,1
External lesion,1
seawater from Antarctic Intermediate Water,1
mixed forest near oak tree,1
"granitic soil, undisturbed desert",1
swab of ear,1
high temperature Daqu for fermentation of Bandongjing Sesame-flavor liquor,1
water from production well of Uzen petroleum reservoir,1
arsenic-contaminated soil,1
activated sludge from aeration tank for sewage treatment,1
parotidectomy,1
Supra pubic catheter urine,1
Tooth root canal,1
skin and soft tissue infection,1
Lake Stechlin,1
Septic tank,1
"Pus, osteomyelitis",1
lumbar puncture,1
pubic bone,1
"Anhui, China",1
desert soil,1
Laboratory,1
China: Shanghai,1
USA: Dallas Texas,1
maize field,1
activated sludge from Linkou wastewater treatment plant,1
colon,1
Soil of a dry creekbed,1
dam water,1
Turkey diagnostic,1
grape,1
mammal,1
packaged chicken broiler leg,1
bronchial washings,1
Immature compost filter cake,1
handrail,1
Soft tissue wound,1
soil sample line 2 60 ft from anomalous acidified pond located near a glacio-fluvial outwash plain,1
tracheal secretions from Non-CF patient,1
after 200 passages on culture medium (Brain Heart Infusion),1
field soil,1
Broncheal washing,1
Deep subsurface fluids,1
Runway 10 Reef (10-12 m),1
"flowers, endophytic",1
endotrachial aspirate from ICU patient,1
endo-tracheal apirate (ETA),1
feces from 52 yr old caucasian male,1
larvae developed in green 'Suri' olives,1
Xylem,1
"shipworm Bankia gouldi collected from the Newport River Estuary, Beaufort North Carolina in 1979",1
cold seep sediment sample 8 MPaI,1
fermented pulque,1
Nephretic drain fluid,1
Aorta,1
rumen fluid,1
Chukchi Sea,1
sick pig,1
Sputum-lungs,1
"terrestrial hot spring (Cistern Spring, YNP)",1
the activated sludge from a sodium cyclamate production plant,1
biofilm from MB_RO membrane6,1
thermal brine,1
fluid urethra,1
sebaceous gland in acne affected area on cheek of male with severe acne,1
drilled from decomposing wood,1
carageenan 40-100 m particle (artificial) late colonization,1
bathroom,1
"sediment permeated by freshwater in a pond at the Anse Coco beach, La Digue Island, Republic of Seychelles",1
Avicennia marina,1
filtered produced water from oil reservoir A2,1
"enrichment culture DH1 from tap water in Fudan University, urea",1
Exudate from chicken breast purchased at a retail location,1
segment 5 of single filament from GC246 mud volcano site,1
decaying tree,1
colonization device Net 2 floating at the air-water interface of the Frasassi cave system sulfidic spring,1
top 1 cm of hot spring sediment,1
packaged chicken,1
segment 1 of single filament from GC246 mud volcano site,1
droppings,1
"seawater from hadal water (10,400-10,500 m)",1
"Drain, entrance",1
bood,1
tannery wastewater,1
milk from cattle,1
enrichment bioreactor inoculated with the effluent of the enrichment described in Raghoebarsing et al 2006 (PMID 16612380),1
piggery environmental water,1
Forest soil (upper A horizon),1
screening,1
baked ham,1
amphitheater springs near vegetative/sediment and waters edge,1
Buffalo Milk,1
blood sample from a 72 year old woman who was hospitalized in ICU,1
White-crowned sparrow,1
Supragingival dental plaque,1
kitchen sink sponge,1
Frozen whole waliking yellow fish,1
midgut,1
healthy skin surface,1
Arctic Ocean sediment,1
Endosphere,1
Percutaneous abscess drainage,1
Ziyang City,1
biofilm from MA_RO membrane2,1
bottom sediments of Lake Baikal,1
table and wall Gap,1
enrichment culture,1
lamb trim,1
cutting board,1
slpeen,1
sponge from the Crane site of a hydrothermal vent,1
saline wetland,1
root nodule of Sesbania cannabina,1
whole blood,1
hypersaline lake water,1
Tanatar III soda lake,1
midstream specimen of urine,1
microbial mat of Manikaran Hot Spring,1
Fetus,1
femorotibial joint,1
Ojo Caliente Hot Spring,1
lechera,1
Respiratory secretion,1
Frozen Featherback fish meat,1
male scorpion,1
oil field,1
Almond drupe,1
"seawater incubations started in August, 2010",1
Dropping,1
Synovial Fluid Right ELBOW BURSA,1
Fistula,1
Howieson,1
Ornithodoros hermsii tick,1
mosquito gut,1
brown mussels (Perna perna),1
Garlic Smoked Sausage,1
single-cell amplified by MDA; produced oilfield water,1
Loropetalum,1
14 mesial subgingival,1
blood sample from a 45 year old man who was hospitalized in ICU,1
peritoneal pseudomyxoma peritonei tumor,1
sheep,1
Fluid (Bone tissue),1
Ornithogenic soil,1
retail beef,1
Hippophae rhamnoides rhizosphere,1
symptomatic lesions of tomato plants,1
pupenda,1
(MIX) marine epipelagic mixed layer water column,1
fecal swab,1
Mediastinal fluid,1
farmland biome,1
water/sediment,1
fetal abomasal content,1
Axillary smear,1
tomato leaf,1
corn fermented beverage,1
Parmesan Cheese,1
newborn stool,1
herring,1
cold seep sediment sample 30 Mpa,1
Bone fragment,1
root nodule of Trifolium uniflorum collected on the edge of a valley,1
urban wastewaters,1
Cellulose-degrading anaerobic digester,1
skin smear,1
Foetal tissue,1
coral sample,1
surface of a mussel,1
"5 liters of water from the Tucurui Power Plant Reservoir, point M5 collected 50cm beneath the lake surface, then filtered by negative pressure for posterior culture in BG-11 medium",1
Endotracheal secretions,1
Iso-alkane degrading methanogenic enrichment culture from Athabasca tailings sands,1
terrestrial hot spring,1
Flood water,1
soil contaminated by antibiotics,1
oil filed,1
horse dung,1
basaltic crust aquifer fluid,1
Pharyngeal exudates,1
deep-sea polychaete,1
Pus left axilla,1
Solanum tuberosum,1
peribile duct tissue,1
blood sample from a 56 year old woman who was hospitalized in ICU,1
breast-fed lamb,1
breast milk from a healthy woman,1
laboratory sample,1
patient with IBS,1
heated water in contact with grass/sediment layer,1
Pig-tail ureteric stent,1
